ISO_TIME,WMO_WIND,WMO_PRES
26-04-2019 12:00,25,998
26-04-2019 18:00,25,998
27-04-2019 03:00,30,996
27-04-2019 06:00,35,995
27-04-2019 09:00,40,994
27-04-2019 12:00,45,992
27-04-2019 15:00,45,992
27-04-2019 18:00,45,992
27-04-2019 21:00,45,992
28-04-2019 03:00,45,992
28-04-2019 06:00,45,992
28-04-2019 09:00,45,992
28-04-2019 12:00,45,992
28-04-2019 15:00,45,992
28-04-2019 18:00,45,992
28-04-2019 21:00,45,992
29-04-2019 03:00,45,992
29-04-2019 06:00,45,992
29-04-2019 09:00,45,992
29-04-2019 12:00,55,986
29-04-2019 15:00,55,986
29-04-2019 18:00,55,986
29-04-2019 21:00,65,982
30-04-2019 03:00,75,974
30-04-2019 06:00,80,970
30-04-2019 09:00,85,966
30-04-2019 12:00,90,962
30-04-2019 15:00,95,957
30-04-2019 18:00,95,957
30-04-2019 21:00,95,957
01-05-2019 03:00,95,957
01-05-2019 06:00,95,957
01-05-2019 09:00,95,955
01-05-2019 12:00,100,950
01-05-2019 15:00,100,950
01-05-2019 18:00,100,950
01-05-2019 21:00,100,950
02-05-2019 03:00,105,945
02-05-2019 06:00,110,940
02-05-2019 09:00,115,932
02-05-2019 15:00,115,934
02-05-2019 18:00,115,934
02-05-2019 21:00,115,934
03-05-2019 03:00,100,952
03-05-2019 06:00,85,966
03-05-2019 09:00,75,970
03-05-2019 12:00,70,976
03-05-2019 15:00,60,980
03-05-2019 18:00,55,984
03-05-2019 21:00,50,986
04-05-2019 03:00,30,996
04-05-2019 06:00,25,998
04-05-2019 12:00,20,1000
16-05-2020 03:00,25,1000
16-05-2020 06:00,25,1000
16-05-2020 09:00,30,998
16-05-2020 12:00,35,996
16-05-2020 15:00,40,995
16-05-2020 18:00,40,995
16-05-2020 21:00,45,994
17-05-2020 03:00,50,990
17-05-2020 06:00,55,988
17-05-2020 09:00,65,980
17-05-2020 12:00,70,978
17-05-2020 15:00,75,972
17-05-2020 18:00,80,970
17-05-2020 21:00,90,962
18-05-2020 03:00,115,936
18-05-2020 06:00,120,930
18-05-2020 09:00,120,930
18-05-2020 12:00,125,926
18-05-2020 15:00,125,926
18-05-2020 18:00,130,920
18-05-2020 21:00,130,920
19-05-2020 03:00,120,930
19-05-2020 06:00,115,936
19-05-2020 09:00,110,942
19-05-2020 12:00,105,946
19-05-2020 15:00,100,948
19-05-2020 18:00,100,948
19-05-2020 21:00,100,948
20-05-2020 03:00,95,954
20-05-2020 06:00,90,956
20-05-2020 09:00,90,960
20-05-2020 12:00,85,957
20-05-2020 15:00,65,968
20-05-2020 18:00,50,978
20-05-2020 21:00,45,986
21-05-2020 03:00,35,990
21-05-2020 06:00,30,992
21-05-2020 12:00,20,995
